Year,Event,Driver,Compound,CompoundEncoded,TyreLife,TrackTemp,FuelLoad,Abrasivity,LateralEnergy,DeltaToBest,LapNumber,Stint,CorrectedLapTime_Global
2024,Abu Dhabi Grand Prix,1,HARD,2,17.0,29.8,12.0,3,3,0.40850000000001785,46.0,2.0,89.091
2024,Abu Dhabi Grand Prix,1,HARD,2,18.0,29.7,11.0,3,3,0.5000000000000142,47.0,2.0,89.18249999999999
2024,Abu Dhabi Grand Prix,1,HARD,2,19.0,29.7,10.0,3,3,0.10600000000002296,48.0,2.0,88.7885
2024,Abu Dhabi Grand Prix,1,HARD,2,20.0,29.6,9.0,3,3,0.15850000000003206,49.0,2.0,88.84100000000001
2024,Abu Dhabi Grand Prix,1,HARD,2,21.0,29.6,8.0,3,3,0.20950000000001978,50.0,2.0,88.892
2024,Abu Dhabi Grand Prix,1,HARD,2,22.0,29.4,7.0,3,3,0.08850000000001046,51.0,2.0,88.77099999999999
2024,Abu Dhabi Grand Prix,1,HARD,2,23.0,29.4,6.0,3,3,0.33250000000001023,52.0,2.0,89.01499999999999
2024,Abu Dhabi Grand Prix,1,HARD,2,24.0,29.4,5.0,3,3,0.36650000000003047,53.0,2.0,89.049
2024,Abu Dhabi Grand Prix,1,HARD,2,25.0,29.4,4.0,3,3,0.6715000000000373,54.0,2.0,89.35400000000001
2024,Abu Dhabi Grand Prix,1,HARD,2,26.0,29.3,3.0,3,3,0.15900000000002024,55.0,2.0,88.8415
2024,Abu Dhabi Grand Prix,1,HARD,2,27.0,29.4,2.0,3,3,0.1185000000000258,56.0,2.0,88.801
2024,Abu Dhabi Grand Prix,1,HARD,2,29.0,29.3,0.0,3,3,1.1690000000000254,58.0,2.0,89.8515
2024,Abu Dhabi Grand Prix,10,MEDIUM,1,4.0,31.8,54.0,3,3,0.0,4.0,1.0,89.71314114114115
2024,Abu Dhabi Grand Prix,10,MEDIUM,1,5.0,31.7,53.0,3,3,0.032358858858842154,5.0,1.0,89.74549999999999
