Year,Event,Driver,Compound,CompoundEncoded,TyreLife,TrackTemp,FuelLoad,Abrasivity,LateralEnergy,DeltaToBest,LapNumber,Stint,CorrectedLapTime_Global,BestCorrectedByStint
2023,Abu Dhabi Grand Prix,1,HARD,2,24.0,31.5,18.0,3.1,3.1,0.22100000000000364,40.0,2.0,89.733,89.512
2023,Abu Dhabi Grand Prix,1,HARD,2,25.0,31.1,17.0,3.1,3.1,0.1880000000000024,41.0,2.0,89.7,89.512
2023,Abu Dhabi Grand Prix,1,HARD,2,26.0,31.4,16.0,3.1,3.1,0.2839999999999918,42.0,2.0,89.79599999999999,89.512
2023,Abu Dhabi Grand Prix,1,HARD,2,2.0,31.3,13.0,3.1,3.1,0.0,45.0,3.0,87.758,87.758
2023,Abu Dhabi Grand Prix,1,HARD,2,3.0,31.2,12.0,3.1,3.1,0.9260000000000019,46.0,3.0,88.684,87.758
2023,Abu Dhabi Grand Prix,1,HARD,2,4.0,31.2,11.0,3.1,3.1,1.0030000000000001,47.0,3.0,88.761,87.758
2023,Abu Dhabi Grand Prix,1,HARD,2,5.0,31.2,10.0,3.1,3.1,1.0260000000000105,48.0,3.0,88.784,87.758
2023,Abu Dhabi Grand Prix,1,HARD,2,6.0,31.0,9.0,3.1,3.1,0.9759999999999991,49.0,3.0,88.734,87.758
2023,Abu Dhabi Grand Prix,1,HARD,2,7.0,31.1,8.0,3.1,3.1,1.132000000000005,50.0,3.0,88.89,87.758
2023,Abu Dhabi Grand Prix,1,HARD,2,8.0,31.0,7.0,3.1,3.1,0.9579999999999984,51.0,3.0,88.716,87.758
2023,Abu Dhabi Grand Prix,1,HARD,2,9.0,31.0,6.0,3.1,3.1,0.9769999999999897,52.0,3.0,88.73499999999999,87.758
2023,Abu Dhabi Grand Prix,1,HARD,2,10.0,31.0,5.0,3.1,3.1,0.8260000000000218,53.0,3.0,88.58400000000002,87.758
2023,Abu Dhabi Grand Prix,1,HARD,2,11.0,31.1,4.0,3.1,3.1,0.673000000000016,54.0,3.0,88.43100000000001,87.758
2023,Abu Dhabi Grand Prix,1,HARD,2,12.0,31.1,3.0,3.1,3.1,1.1070000000000135,55.0,3.0,88.86500000000001,87.758
2023,Abu Dhabi Grand Prix,1,HARD,2,13.0,31.0,2.0,3.1,3.1,0.9210000000000065,56.0,3.0,88.679,87.758
2023,Abu Dhabi Grand Prix,1,HARD,2,14.0,31.0,1.0,3.1,3.1,1.1910000000000167,57.0,3.0,88.94900000000001,87.758
2023,Abu Dhabi Grand Prix,1,HARD,2,15.0,31.0,0.0,3.1,3.1,1.7730000000000103,58.0,3.0,89.531,87.758
2023,Abu Dhabi Grand Prix,10,MEDIUM,1,3.0,33.4,55.0,3.1,3.1,0.03653748125937284,3.0,1.0,91.04152298850575,91.00498550724637
2023,Abu Dhabi Grand Prix,10,MEDIUM,1,4.0,33.7,54.0,3.1,3.1,0.0,4.0,1.0,91.00498550724637,91.00498550724637
2023,Abu Dhabi Grand Prix,10,MEDIUM,1,5.0,33.2,53.0,3.1,3.1,0.02004390451831739,5.0,1.0,91.02502941176469,91.00498550724637
2023,Abu Dhabi Grand Prix,10,MEDIUM,1,6.0,33.0,52.0,3.1,3.1,0.1469033816425025,6.0,1.0,91.15188888888888,91.00498550724637
2023,Abu Dhabi Grand Prix,10,MEDIUM,1,7.0,33.2,51.0,3.1,3.1,0.08004184837673733,7.0,1.0,91.08502735562311,91.00498550724637
2023,Abu Dhabi Grand Prix,10,MEDIUM,1,8.0,33.1,50.0,3.1,3.1,0.2594262574595092,8.0,1.0,91.26441176470588,91.00498550724637
2023,Abu Dhabi Grand Prix,10,MEDIUM,1,9.0,32.8,49.0,3.1,3.1,0.6391256038647413,9.0,1.0,91.64411111111112,91.00498550724637
2023,Abu Dhabi Grand Prix,10,MEDIUM,1,10.0,32.7,48.0,3.1,3.1,0.3010144927536089,10.0,1.0,91.30599999999998,91.00498550724637
2023,Abu Dhabi Grand Prix,10,MEDIUM,1,11.0,32.9,47.0,3.1,3.1,0.6490144927536363,11.0,1.0,91.65400000000001,91.00498550724637
2023,Abu Dhabi Grand Prix,10,MEDIUM,1,12.0,32.8,46.0,3.1,3.1,1.691014492753638,12.0,1.0,92.69600000000001,91.00498550724637
2023,Abu Dhabi Grand Prix,10,MEDIUM,1,13.0,32.5,45.0,3.1,3.1,0.7480144927536259,13.0,1.0,91.753,91.00498550724637
2023,Abu Dhabi Grand Prix,10,MEDIUM,1,14.0,32.5,44.0,3.1,3.1,0.6900144927536189,14.0,1.0,91.695,91.00498550724637
2023,Abu Dhabi Grand Prix,10,MEDIUM,1,15.0,32.5,43.0,3.1,3.1,1.2360144927536396,15.0,1.0,92.24100000000001,91.00498550724637
2023,Abu Dhabi Grand Prix,10,MEDIUM,1,16.0,32.3,42.0,3.1,3.1,1.5400144927536275,16.0,1.0,92.545,91.00498550724637
2023,Abu Dhabi Grand Prix,10,HARD,2,2.0,32.6,39.0,3.1,3.1,0.0,19.0,2.0,90.32300000000001,90.32300000000001
2023,Abu Dhabi Grand Prix,10,HARD,2,3.0,32.6,38.0,3.1,3.1,0.25900000000000034,20.0,2.0,90.58200000000001,90.32300000000001
2023,Abu Dhabi Grand Prix,10,HARD,2,4.0,32.6,37.0,3.1,3.1,0.45599999999998886,21.0,2.0,90.779,90.32300000000001
2023,Abu Dhabi Grand Prix,10,HARD,2,5.0,32.4,36.0,3.1,3.1,0.22999999999998977,22.0,2.0,90.553,90.32300000000001
2023,Abu Dhabi Grand Prix,10,HARD,2,6.0,32.1,35.0,3.1,3.1,1.225999999999999,23.0,2.0,91.549,90.32300000000001
