CompoundEncoded,TyreLife,TrackTemp,FuelLoad,Abrasivity,LateralEnergy,DeltaToBest,LapNumber,Stint,RaceNumber,TeamEncoded,delta_velocity,lateral_stress_cumul,abrasive_stress_cumul,stress_x_temp,compound_x_abrasivity,compound_x_lateral,compound_x_tyrelife,prev_stint_max_delta,stint_length,tyre_life_pct
2,5.0,30.6,24.0,3.1,3.1,0.3720000000000283,34.0,2.0,46,0,0.09300000000000352,15.5,15.5,474.30000000000007,6.2,6.2,10.0,1.1779999999999973,29.0,0.1724137931034483
2,6.0,30.3,23.0,3.1,3.1,1.0910000000000224,35.0,2.0,46,0,0.7189999999999941,18.6,18.6,563.58,6.2,6.2,12.0,1.1779999999999973,29.0,0.20689655172413793
2,7.0,30.4,22.0,3.1,3.1,0.5540000000000305,36.0,2.0,46,0,-0.5369999999999919,21.7,21.7,659.68,6.2,6.2,14.0,1.1779999999999973,29.0,0.2413793103448276
2,8.0,30.3,21.0,3.1,3.1,0.4270000000000209,37.0,2.0,46,0,-0.12700000000000955,24.8,24.8,751.44,6.2,6.2,16.0,1.1779999999999973,29.0,0.27586206896551724
2,9.0,30.3,20.0,3.1,3.1,0.39100000000001955,38.0,2.0,46,0,-0.036000000000001364,27.900000000000002,27.900000000000002,845.3700000000001,6.2,6.2,18.0,1.1779999999999973,29.0,0.3103448275862069
2,10.0,30.1,19.0,3.1,3.1,0.3440000000000225,39.0,2.0,46,0,-0.046999999999997044,31.0,31.0,933.1,6.2,6.2,20.0,1.1779999999999973,29.0,0.3448275862068966
2,11.0,30.2,18.0,3.1,3.1,0.410000000000025,40.0,2.0,46,0,0.0660000000000025,34.1,34.1,1029.8200000000002,6.2,6.2,22.0,1.1779999999999973,29.0,0.3793103448275862
2,12.0,30.1,17.0,3.1,3.1,0.521000000000015,41.0,2.0,46,0,0.11099999999999,37.2,37.2,1119.72,6.2,6.2,24.0,1.1779999999999973,29.0,0.41379310344827586
2,13.0,30.2,16.0,3.1,3.1,0.2120000000000175,42.0,2.0,46,0,-0.3089999999999975,40.300000000000004,40.300000000000004,1217.06,6.2,6.2,26.0,1.1779999999999973,29.0,0.4482758620689655
2,14.0,30.1,15.0,3.1,3.1,0.2050000000000125,43.0,2.0,46,0,-0.007000000000005002,43.4,43.4,1306.3400000000001,6.2,6.2,28.0,1.1779999999999973,29.0,0.4827586206896552
2,15.0,30.1,14.0,3.1,3.1,0.6340000000000288,44.0,2.0,46,0,0.42900000000001626,46.5,46.5,1399.65,6.2,6.2,30.0,1.1779999999999973,29.0,0.5172413793103449
2,16.0,30.0,13.0,3.1,3.1,0.3823392330383655,45.0,2.0,46,0,-0.2516607669616633,49.6,49.6,1488.0,6.2,6.2,32.0,1.1779999999999973,29.0,0.5517241379310345
2,17.0,30.0,12.0,3.1,3.1,0.39800000000001035,46.0,2.0,46,0,0.015660766961644867,52.7,52.7,1581.0,6.2,6.2,34.0,1.1779999999999973,29.0,0.5862068965517241
2,18.0,29.7,11.0,3.1,3.1,0.48800000000001376,47.0,2.0,46,0,0.09000000000000341,55.800000000000004,55.800000000000004,1657.2600000000002,6.2,6.2,36.0,1.1779999999999973,29.0,0.6206896551724138
2,19.0,29.7,10.0,3.1,3.1,0.09400000000002251,48.0,2.0,46,0,-0.39399999999999125,58.9,58.9,1749.3300000000002,6.2,6.2,38.0,1.1779999999999973,29.0,0.6551724137931034
2,20.0,29.6,9.0,3.1,3.1,0.14500000000002444,49.0,2.0,46,0,0.05100000000000193,62.0,62.0,1835.2,6.2,6.2,40.0,1.1779999999999973,29.0,0.6896551724137931
2,21.0,29.5,8.0,3.1,3.1,0.19600000000001216,50.0,2.0,46,0,0.05099999999998772,65.10000000000001,65.10000000000001,1920.45,6.2,6.2,42.0,1.1779999999999973,29.0,0.7241379310344828
2,22.0,29.6,7.0,3.1,3.1,0.07200000000000273,51.0,2.0,46,0,-0.12400000000000944,68.2,68.2,2018.72,6.2,6.2,44.0,1.1779999999999973,29.0,0.7586206896551724
2,23.0,29.4,6.0,3.1,3.1,0.3160000000000025,52.0,2.0,46,0,0.24399999999999977,71.3,71.3,2096.22,6.2,6.2,46.0,1.1779999999999973,29.0,0.7931034482758621
2,24.0,29.4,5.0,3.1,3.1,0.35000000000002274,53.0,2.0,46,0,0.034000000000020236,74.4,74.4,2187.36,6.2,6.2,48.0,1.1779999999999973,29.0,0.8275862068965517
2,25.0,29.4,4.0,3.1,3.1,0.6550000000000296,54.0,2.0,46,0,0.3050000000000068,77.5,77.5,2278.5,6.2,6.2,50.0,1.1779999999999973,29.0,0.8620689655172413
2,26.0,29.3,3.0,3.1,3.1,0.14100000000001955,55.0,2.0,46,0,-0.51400000000001,80.60000000000001,80.60000000000001,2361.58,6.2,6.2,52.0,1.1779999999999973,29.0,0.896551724137931
2,27.0,29.4,2.0,3.1,3.1,0.10200000000001808,56.0,2.0,46,0,-0.03900000000000148,83.7,83.7,2460.78,6.2,6.2,54.0,1.1779999999999973,29.0,0.9310344827586207
2,29.0,29.3,0.0,3.1,3.1,1.1510000000000247,58.0,2.0,46,0,1.0490000000000066,89.9,89.9,2634.07,6.2,6.2,58.0,1.1779999999999973,29.0,1.0
3,1.0,39.0,57.0,2.8,3.1,0.0,1.0,1.0,25,0,-1.1779999999999973,3.1,2.8,120.9,8.399999999999999,9.3,3.0,,3.0,0.3333333333333333
3,2.0,39.0,56.0,2.8,3.1,0.0,2.0,1.0,25,0,0.0,6.2,5.6,241.8,8.399999999999999,9.3,6.0,,3.0,0.6666666666666666
3,3.0,39.0,55.0,2.8,3.1,0.0,3.0,1.0,25,0,0.0,9.3,8.399999999999999,362.70000000000005,8.399999999999999,9.3,9.0,,3.0,1.0
3,2.0,47.3,69.0,2.4,3.1,0.0,2.0,1.0,33,0,0.0,6.2,4.8,293.26,7.199999999999999,9.3,6.0,,22.0,0.09090909090909091
3,3.0,47.4,68.0,2.4,3.1,0.0,3.0,1.0,33,0,0.0,9.3,7.199999999999999,440.82,7.199999999999999,9.3,9.0,,22.0,0.13636363636363635
3,4.0,48.1,67.0,2.4,3.1,0.06900000000000261,4.0,1.0,33,0,0.06900000000000261,12.4,9.6,596.44,7.199999999999999,9.3,12.0,,22.0,0.18181818181818182
3,5.0,48.1,66.0,2.4,3.1,0.1939999999999884,5.0,1.0,33,0,0.12499999999998579,15.5,12.0,745.5500000000001,7.199999999999999,9.3,15.0,,22.0,0.22727272727272727
3,6.0,48.2,65.0,2.4,3.1,0.44999999999998863,6.0,1.0,33,0,0.2560000000000002,18.6,14.399999999999999,896.5200000000001,7.199999999999999,9.3,18.0,,22.0,0.2727272727272727
3,7.0,48.4,64.0,2.4,3.1,0.4549999999999983,7.0,1.0,33,0,0.005000000000009663,21.7,16.8,1050.28,7.199999999999999,9.3,21.0,,22.0,0.3181818181818182
3,8.0,48.6,63.0,2.4,3.1,0.5889999999999986,8.0,1.0,33,0,0.13400000000000034,24.8,19.2,1205.28,7.199999999999999,9.3,24.0,,22.0,0.36363636363636365
3,9.0,48.7,62.0,2.4,3.1,0.880999999999986,9.0,1.0,33,0,0.2919999999999874,27.900000000000002,21.599999999999998,1358.7300000000002,7.199999999999999,9.3,27.0,,22.0,0.4090909090909091
3,10.0,48.7,61.0,2.4,3.1,0.8999999999999915,10.0,1.0,33,0,0.019000000000005457,31.0,24.0,1509.7000000000003,7.199999999999999,9.3,30.0,,22.0,0.45454545454545453
3,11.0,48.7,60.0,2.4,3.1,0.8889999999999958,11.0,1.0,33,0,-0.01099999999999568,34.1,26.4,1660.6700000000003,7.199999999999999,9.3,33.0,,22.0,0.5
3,12.0,49.0,59.0,2.4,3.1,0.8619999999999948,12.0,1.0,33,0,-0.027000000000001023,37.2,28.799999999999997,1822.8000000000002,7.199999999999999,9.3,36.0,,22.0,0.5454545454545454
3,13.0,48.2,58.0,2.4,3.1,1.3279999999999887,13.0,1.0,33,0,0.465999999999994,40.300000000000004,31.2,1942.4600000000003,7.199999999999999,9.3,39.0,,22.0,0.5909090909090909
3,14.0,48.0,57.0,2.4,3.1,1.1029999999999802,14.0,1.0,33,0,-0.22500000000000853,43.4,33.6,2083.2000000000003,7.199999999999999,9.3,42.0,,22.0,0.6363636363636364
3,15.0,48.1,56.0,2.4,3.1,1.4470000000000027,15.0,1.0,33,0,0.3440000000000225,46.5,36.0,2236.65,7.199999999999999,9.3,45.0,,22.0,0.6818181818181818
3,16.0,48.6,55.0,2.4,3.1,1.399000000000001,16.0,1.0,33,0,-0.04800000000000182,49.6,38.4,2410.56,7.199999999999999,9.3,48.0,,22.0,0.7272727272727273
3,17.0,48.2,54.0,2.4,3.1,1.445999999999998,17.0,1.0,33,0,0.046999999999997044,52.7,40.8,2540.1400000000003,7.199999999999999,9.3,51.0,,22.0,0.7727272727272727
